Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Modified Countries,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,2.86,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,1988.78,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,1853.42,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,1490.57,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,372,Ireland,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,1470.47,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,47.6,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,63.38,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,55.2,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,85.27,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23912.01,Coffee substitutes,2019,2019,tonnes,0,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,1.59,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,3.93,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1.59,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,1.5,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,183761.72,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,216353.54,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,181076.31,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,380,Italy,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,174450.12,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,428,Latvia,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,92.62,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,428,Latvia,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,147.15,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,428,Latvia,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,42.48,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,428,Latvia,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,61.56,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,428,Latvia,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,0.01,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,428,Latvia,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,0.02,A,Official figure,,
